date,cases,deaths,pos_log,death_log,pos_diff,death_diff,pos_diff_diff,pos_log_diff,box_cox,death_diff_diff
2020-05-24,1651471,97680,14.31717696386468,11.489452108784587,20031,620,-2237,0.012203345498452478,3642.8390678562496,-430
2020-05-25,1670571,98190,14.328676042120591,11.494659656163336,19100,510,-931,0.011499078255910788,3665.0452980330274,-110
2020-05-26,1689467,98937,14.339923652539685,11.502238562915084,18896,747,-204,0.011247610419093945,3686.8967949841785,237
2020-05-27,1708211,100422,14.350957182000437,11.517136585741692,18744,1485,-152,0.011033529460751978,3708.458897806655,738
2020-05-28,1730723,101622,14.364049798245253,11.529015326119175,22512,1200,3768,0.013092616244815503,3734.208511801802,-285
2020-05-29,1755271,102812,14.378133818915602,11.540657356708119,24548,1190,2036,0.014084020670349418,3762.1074939910327,-10
2020-05-30,1778668,103775,14.391375327534394,11.54998037292124,23397,963,-1151,0.013241508618792253,3788.5275309658837,-227
2020-05-31,1799302,104379,14.40290936988337,11.55578378477213,20634,604,-2763,0.011534042348975149,3811.6918293895533,-359
2020-06-01,1821199,105113,14.4150056333541,11.562791240938022,21897,734,1263,0.012096263470731117,3836.137357229546,130
2020-06-02,1841990,106195,14.426357066901003,11.573032305702347,20791,1082,-1106,0.011351433546902712,3859.220150556716,348
2020-06-03,1861977,107184,14.437149384433514,11.58230226274805,19987,989,-804,0.010792317532510864,3881.2947226838005,-93
2020-06-04,1883593,108192,14.448691681056673,11.591662705507613,21616,1008,1629,0.011542296623158421,3905.042981765425,19
2020-06-05,1912302,109304,14.463818309911524,11.601888270018323,28709,1112,7093,0.015126628854851276,3936.3860298966083,104
2020-06-06,1934818,110032,14.475523823174852,11.608526511559617,22516,728,-6193,0.011705513263327916,3960.8128450760587,-384
2020-06-07,1953434,110422,14.485099407393337,11.612064668334753,18616,390,-3900,0.009575584218485034,3980.907589004464,-338
2020-06-08,1971641,111144,14.494376748890303,11.618581936828697,18207,722,-409,0.009277341496966685,4000.4736421156076,332
2020-06-09,1990446,112174,14.50386929219242,11.627806516162149,18805,1030,598,0.009492543302116019,4020.5930541281227,308
2020-06-10,2013298,113103,14.515284731420017,11.636054186951364,22852,929,4047,0.011415439227597801,4044.9220266871757,-101
2020-06-11,2036500,113980,14.526743206070604,11.64377827338899,23202,877,350,0.011458474650586581,4069.4906996080244,-52
2020-06-12,2061993,114759,14.539183548790913,11.650589556219762,25493,779,2291,0.012440342720308806,4096.33355168309,-98
2020-06-13,2087327,115451,14.55139485802139,11.656601476503466,25334,692,-159,0.01221130923047653,4122.854324280368,-87
2020-06-14,2106457,115768,14.560517947185502,11.659343467417829,19130,317,-6204,0.009123089164113196,4142.779982788186,-375
2020-06-15,2126574,116216,14.570022792035791,11.66320580755272,20117,448,987,0.009504844850289018,4163.641819478089,131
2020-06-16,2151459,116985,14.581656774606985,11.669801000432708,24885,769,4768,0.011633982571193968,4189.319800056441,321
2020-06-17,2177114,117746,14.593510704486443,11.676285041025652,25655,761,770,0.011853929879457326,4215.646050520663,-8
2020-06-18,2205173,118473,14.606316521835298,11.682440365494735,28059,727,2404,0.012805817348855442,4244.272182090257,-34
2020-06-19,2236009,119171,14.62020313829375,11.688314715423312,30836,698,2777,0.013886616458451684,4275.533961278126,-29
2020-06-20,2268034,119717,14.63442393489907,11.692885903182903,32025,546,1189,0.014220796605320274,4307.786601531458,-152
2020-06-21,2294413,119974,14.645987595340703,11.695030331621902,26379,257,-5646,0.011563660441632706,4334.192073104861,-289
2020-06-22,2324879,120334,14.659178552638556,11.698026488797767,30466,360,4087,0.013190957297853245,4364.51105291753,103
2020-06-23,2359939,121167,14.674146329210114,11.704925038315455,35060,833,4594,0.014967776571557678,4399.170828795468,473
2020-06-24,2396928,121934,14.689698475418451,11.711235193724407,36989,767,1929,0.015552146208337447,4435.47526147112,-66
2020-06-25,2438101,124400,14.706730015564771,11.731257459287216,41173,2466,4184,0.017031540146319912,4475.576795726813,1699
2020-06-26,2483629,125033,14.72523135500319,11.73633298144257,45528,633,4355,0.01850133943841925,4519.549814955772,-1833
2020-06-27,2525928,125544,14.742119077923395,11.740411573718557,42299,511,-3229,0.01688772292020424,4560.06456924573,-122
2020-06-28,2565436,125815,14.75763900264878,11.742567853024267,39508,271,-2791,0.015519924725385437,4597.617929849994,-240
2020-06-29,2604932,126162,14.772917129182066,11.745322074396489,39496,347,-12,0.01527812653328553,4634.888148461809,76
2020-06-30,2653321,127462,14.791322620900447,11.755573559942418,48389,1300,8893,0.01840549171838113,4680.188696909918,953
2020-07-01,2703296,128104,14.809982327217151,11.760597713002312,49975,642,1586,0.018659706316704217,4726.566741734527,-658
2020-07-02,2758855,128827,14.830326296544696,11.766225698012844,55559,723,5584,0.020343969327544897,4777.6545836079295,81
2020-07-03,2816009,129418,14.85083119227769,11.770802754929804,57154,591,1595,0.0205048957329943,4829.705096800504,-132
2020-07-04,2866015,129679,14.868433121131854,11.772817445090498,50006,261,-7148,0.017601928854164228,4874.838510335608,-330
2020-07-05,2910782,129941,14.88393233156897,11.774835780264537,44767,262,-5239,0.015499210437114996,4914.92924331003,1
2020-07-06,2958098,130332,14.900057052197656,11.777840320068035,47316,391,2549,0.016124720628686973,4956.987777317963,129
2020-07-07,3012182,131290,14.918175291043205,11.785163895928155,54084,958,6768,0.018118238845548973,5004.6754449664995,567
2020-07-08,3071637,132238,14.937721202205276,11.792358608363598,59455,948,5371,0.01954591116207105,5056.63513420044,-10
2020-07-09,3131526,133079,14.957030983643458,11.798698215827054,59889,841,434,0.019309781438181517,5108.496609021737,-107
2020-07-10,3199753,133907,14.978584177290847,11.804900808132095,68227,828,8338,0.021553193647388724,5167.011549800505,-13
2020-07-11,3260474,134582,14.99738314154652,11.809928957681075,60721,675,-7506,0.018798964255672956,5218.595794748256,-153
2020-07-12,3318279,134977,15.014956832996706,11.812859672535517,57805,395,-2916,0.0175736914501865,5267.283357960972,-280
